,placetitle,types,rate,address,image
0,피자스쿨 광주전대상대점,피자,4.45,북구 반룡로 25 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200405_99%2F1586015464813Aoipz_JPEG%2F2fjK8subE_QGIzIFz2um3jLh.jpeg.jpg
1,오늘하루가 전대상대점,이자카야,4.94,북구 반룡로27번길 17,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221207_72%2F1670411893274cWpg3_JPEG%2F%25B0%25A3%25C6%25C7%25BB%25E7%25C1%25F81.jpeg
2,마니마니전대상대점,양식,4.08,북구 설죽로202번길 100,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_165%2F1548777372987TJ0dP_JPEG%2F5-_7TqquQRH16gmf3QrVZnB4.jpg
3,국수나무 광주전대상대점,국수,4.57,북구 반룡로27번길 7,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200325_20%2F1585105259015lNqQk_JPEG%2F3h_w69dUeEKiz6bwi8TyLKgY.jpg
4,진심커피 전남대상대점,"카페,디저트",,북구 설죽로202번길 68,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220524_259%2F16533671399203x37W_JPEG%2FKakaoTalk_20220111_160739106.jpg
5,얌얌 전대상대점,종합분식,4.63,북구 설죽로214번길 115,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190605_284%2F15597176652639wlkz_JPEG%2FfCBCFkbzelQyqXlb3fdkWipo.jpg
6,메가MGC커피 전대상대점,카페,4.42,북구 설죽로202번길 64 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201022_2%2F1603295250653uwfS3_JPEG%2FEVhMHDTnz6qAuJpWQ8zKyB7W.jpg
7,더카페 전대상대점,카페,4.51,북구 설죽로214번길 127,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200305_48%2F1583388571960cGaIL_JPEG%2FoResg7ouDWPXYmsGl2u6N4EH.jpg
8,컴포즈커피 광주전대상대점,카페,,북구 반룡로27번길 5,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220905_162%2F1662384132865IXyQ1_JPEG%2F1662384078104.jpg
9,놀부부대찌개 전대상대점,"찌개,전골",4.6,북구 설죽로202번길 72,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_111%2F1548775754623S4TPQ_JPEG%2Fi_5bijWazFHvL35aeXn4eu0M.jpg
10,더벤티 광주전대상대점,카페,4.9,북구 설죽로214번길 104 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200617_94%2F1592362308610bnDTF_JPEG%2FguxhSS81pQo8vNapEfQwT65_.jpg
11,통발 전대상대점,요리주점,4.37,북구 반룡로28번길 32-1,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221116_143%2F1668526722636rEpvk_JPEG%2F13BD27D9-7D69-497B-8CC6-BD72F8BE55B9.jpeg
12,썬더치킨 상대점,"치킨,닭강정",4.64,북구 설죽로202번길 36,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_144%2F1548776797850w2sS4_JPEG%2FZTaakmtdTWmghtCJIRyUf_Dp.jpg
13,마라푸우 상대점,중식당,,북구 설죽로202번길 90 (용봉동),
14,커피예담 전대상대점,카페,4.72,북구 설죽로202번길 28-2,
15,용천통닭 전대상대점,"치킨,닭강정",4.35,북구 반룡로28번길 29,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210801_143%2F1627805309954jfn2R_JPEG%2FN9JAWHQpQPFzAkKWf3RQbn0O.jpg
16,추억의모닥불 상대본점,"전통,민속주점",4.33,북구 설죽로214번길 81,
17,봉구스밥버거 전남대상대점,분식,4.52,북구 설죽로214번길 98,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_152%2F1548777434548WG8Ed_JPEG%2F4GrXFP-i1zoKunZPnhcSrVk5.jpg
18,뚜레쥬르 전대상대점,베이커리,4.54,북구 반룡로42번길 15,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210106_72%2F1609892145530WzQVO_PNG%2F8_hfbMTE1Wa5P5y89_erZL6Y.png
19,일상 전대상대점,요리주점,4.33,북구 설죽로214번길 64 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191209_197%2F1575817463183oXPqx_JPEG%2FIBlyaBdASuub2WIEd-KlJJLI.jpg
20,줄벼락 전남대학교 상대점,한식,4.51,북구 설죽로214번길 70-6,
21,쌈육구전남상대점,"족발,보쌈",4,북구 설죽로214번길 77,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200405_30%2F1586019646702jnLki_JPEG%2F6PF3nfD-HAx66hnzV6WRi7k7.jpeg.jpg
22,마왕족발 전대상대점,"족발,보쌈",4.47,북구 설죽로202번길 63,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220715_206%2F1657848363285fmdFm_PNG%2F%25B8%25DE%25C0%25CE%25C0%25CC%25B9%25CC%25C1%25F6.png
23,만계치킨 상대점,"치킨,닭강정",4.21,북구 반룡로42번길 11,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180502_176%2F1525233244771EsWLB_JPEG%2Fzx5hC-TBqHecSyL0n1HvDDPj.jpg
24,이디야 전남대상대점,카페,4.64,북구 설죽로202번길 71,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230130_132%2F1675068602302YgoXp_JPEG%2FSNS%25B1%25E2%25C5%25B8_SNS_morebetter.jpg
25,나우커피 광주전대상대점,"카페,디저트",,북구 반룡로28번길 31,
26,BIGS COFFEE,테이크아웃커피,4.64,북구 설죽로202번길 84 1층,
27,달콤해샐러드&샌드위치,"카페,디저트",4,북구 용주로30번길 64-1 2층 cafe우리.지금달콤해,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221219_163%2F1671386014604jPhPt_JPEG%2F1000000134.jpg
28,카페 아프리카,"카페,디저트",4.83,북구 설죽로202번길 94,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201130_171%2F1606723452894dJNyV_JPEG%2Frex_0rwYYOLlR3PGtOm-wGzr.jpg
29,어디,"카페,디저트",4.68,북구 설죽로214번길 105 1층 카페어디,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190210_105%2F1549798993601e5UHA_JPEG%2FZLPcDyWGvhPcZKtrjJQPWVmX.jpg
30,마피아떡볶이 광주북구점,분식,4.42,북구 반룡로 18 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190517_267%2F15581051538764m4sd_JPEG%2FrUTeJF2re6g4QI1dRUHK3MQo.jpg
31,잇샌드 전남대점,샌드위치,,북구 설죽로202번길 73 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221102_248%2F1667376537126G81OH_JPEG%2F1667125486992.jpg
32,개대박 용봉점,한식,,북구 운용로 89 1층 개대박 용봉점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230318_234%2F16791194642313TP15_JPEG%2FScreenshot_20230317_135004_Instagram.jpg
33,마미쿡 전대점,햄버거,4.4,북구 설죽로214번길 80,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200228_189%2F15828674961115pWck_JPEG%2Fx-cfvoW-wv1pdO_3H5Hs3kt3.jpg
34,토마토도시락 용봉점,"도시락,컵밥",4.49,북구 설죽로214번길 88 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180129_296%2F1517210185011VIf4k_JPEG%2FOgxflurWrnmevkq9yz4Hj8fx.jpg
35,훼이보릿 커피,카페,,북구 설죽로214번길 76 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230314_111%2F1678794134815UET0z_JPEG%2F47FCD9AC-2358-47DB-B6C7-80C10DAF86CF.jpeg
36,고마다커피,"카페,디저트",4.74,북구 설죽로202번길 83 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180612_231%2F15287873844224LYyk_JPEG%2F8HPC0ABSgZaT4vZpBKa_lIzo.JPG.jpg
37,one&two깻잎두마리치킨 용봉신남대점,"치킨,닭강정",4.38,북구 설죽로202번길 79,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201101_122%2F1604177971297jflCq_JPEG%2FZLWAaC3ljoPHPApMch6BgYTy.jpg
38,피자스쿨 광주전대상대점,피자,4.45,북구 반룡로 25 1층,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200405_99%2F1586015464813Aoipz_JPEG%2F2fjK8subE_QGIzIFz2um3jLh.jpeg.jpg
